Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,SEO Hidden (product.metafields.seo.hidden)
nfl-philadelphia-eagles-football-team-logo-baseball-cap,PHI Eagles Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-Philadelphia Eagles,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/philadelphia-eagles-nfl-football-team-logo-baseball-cap6080.jpg,1,NFL Philadelphia Eagles Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL Philadelphia Eagles Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-new-orleans-saints-football-team-logo-baseball-cap,NO Saints Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-New Orleans Saints,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/new-orleans-saints-nfl-football-team-logo-baseball-cap2270.jpg,1,NFL New Orleans Saints Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL New Orleans Saints Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-seattle-seahawks-football-team-logo-baseball-cap,SEA Seahawks Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-Seattle Seahawks,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/seattle-seahawks-nfl-football-team-logo-baseball-cap7078.jpg,1,NFL Seattle Seahawks Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL Seattle Seahawks Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-tampa-bay-buccaneers-football-team-logo-baseball-cap,TB Buccaneers Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-Tampa Bay Buccaneers,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/tampa-bay-buccaneers-nfl-football-team-logo-baseball-cap2729.jpg,1,NFL Tampa Bay Buccaneers Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL Tampa Bay Buccaneers Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-new-york-jets-football-team-logo-baseball-cap,NYJ Jets Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-New York Jets,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/new-york-jets-nfl-football-team-logo-baseball-cap7097.jpg,1,NFL New York Jets Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL New York Jets Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-tennessee-titans-football-team-logo-baseball-cap,TEN Titans Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-Tennessee Titans,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/tennessee-titans-nfl-football-team-logo-baseball-cap0485.jpg,1,NFL Tennessee Titans Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL Tennessee Titans Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-san-francisco-49ers-football-team-logo-baseball-cap,SF 49ers Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-San Francisco 49ers,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/san-francisco-49ers-nfl-football-team-logo-baseball-cap2023.jpg,1,NFL San Francisco 49ers Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL San Francisco 49ers Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-new-england-patriots-football-team-logo-baseball-cap,NE Patriots Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-New England Patriots,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/new-england-patriots-nfl-football-team-logo-baseball-cap1830.jpg,1,NFL New England Patriots Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL New England Patriots Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-new-york-giants-football-team-logo-baseball-cap,NYG Giants Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-New York Giants,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/new-york-giants-nfl-football-team-logo-baseball-cap6130.jpg,1,NFL New York Giants Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL New York Giants Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
nfl-pittsburgh-steelers-football-team-logo-baseball-cap,PIT Steelers Football Team Logo Baseball Cap,"<p style=""font-size: 15px; color: #222222;"">Each Cap is meticulously personalized with the following features:</p>
<ul style=""font-size: 15px; color: #222222;"">
<li>High Quality Printed Cap Suitable For Men, Women, and Kids</li>
<li>Constructed with 100% premium polyester that's lightweight for maximum comfort and breathability</li>
<li>All Caps are unique and handcrafted with the highest quality Fabric</li>
<li>High-quality print ensures vibrant colors and long-lasting durability</li>
<li>The anti-fade printing can withstand machine wash, hand wash and even high-temperature wash without any reduces of the vibrancy of colors</li>
<li>Proudly printed to the best standards</li>
<li>Strap Can Be Adjustable fit to all size heads</li>
</ul>
<p style=""font-size: 15px; color: #222222;""><img style=""height: auto;"" src=""https://cdn.shopify.com/s/files/1/0697/3705/4431/files/Cap-size.jpg?v=1741229475"" alt=""""></p>",,,search-hidden,True,,,,,,,NT231225TT-CA01-Pittsburgh Steelers,0,shopify,0,continue,manual,29.95,,True,,,https://image.gangstarap80s.com/wp-media-folder-gangstarap80s/wp-content/uploads/2025/01/pittsburgh-steelers-nfl-football-team-logo-baseball-cap8309.jpg,1,NFL Pittsburgh Steelers Football Team Logo Baseball Cap,False,,Adult,Unisex,,NFL Pittsburgh Steelers Football Team Logo Baseball Cap,,,,new,False,,,,,,,lb,,29.95,1.0
