Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,SEO Hidden (product.metafields.seo.hidden)
buffalo-bills-hunting-unisex-puffer-vest,Buffalo Bills Hunting Unisex Puffer Vest,"<p style=""color: rgba(18, 18, 18, 0.9);""><span style=""color: rgb(0, 0, 0);""><strong>Puffer Vest — The Perfect Gift for Any Sports Fan</strong></span></p>
<p style=""color: rgba(18, 18, 18, 0.9);"">Stay warm without the bulk. This lightweight, insulated vest layers easily over tees or hoodies for game days and everyday wear.</p>
<p style=""color: rgba(18, 18, 18, 0.9);""><strong>Highlights</strong></p>
<ul style=""color: rgba(18, 18, 18, 0.9);"">
<li>Warm synthetic fill,&nbsp;<strong>lightweight</strong>&nbsp;comfort</li>
<li><strong>Water-repellent</strong>&nbsp;shell, stand collar, full front zip</li>
<li><strong>Two zip pockets</strong>&nbsp;for phone/keys</li>
<li><strong>Unisex fit</strong>; easy to layer</li>
<li><em>Optional</em>&nbsp;name/number personalization (if available)</li>
</ul>
<p style=""color: rgba(18, 18, 18, 0.9);""><strong>Gift-Ready</strong>: Universal appeal, bold look—great for birthdays, holidays, or fan meetups.</p>
<p style=""color: rgba(18, 18, 18, 0.9);""><strong>Sizing</strong>: Choose usual size for a close fit; size up for heavy layers.</p>
<p style=""color: rgba(18, 18, 18, 0.9);""><strong>Care</strong>: Machine wash cold, gentle; hang dry.</p>
<p style=""color: rgba(18, 18, 18, 0.9); text-align: center;""><strong>SIZE CHART</strong></p>
<p style=""color: rgba(18, 18, 18, 0.9); text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/Puffer_Vest.png?v=1775708267"" alt=""""></p>",,Puffer Vest,"search-hidden,puffer-vest",TRUE,Style,Hunting,Player,Josh Allen - 17,Size,M,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,69.97,,TRUE,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtinq.jpg,1,Buffalo Bills Hunting Unisex Puffer Vest,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,1
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,L,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,XL,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,2XL,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,3XL,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,4XL,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,5XL,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,74.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,Josh Allen - 17,,6XL,NT100126TT-PV1-Buffalo Bills-Hunting-JoshAllen-17,0,shopify,0,continue,manual,74.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtgoa.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,James Cook - 4,,M,NT100126TT-PV1-Buffalo Bills-Hunting-JamesCook-4,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtimi.jpg,lb,,,
buffalo-bills-hunting-unisex-puffer-vest,,,,,,,,Hunting,,James Cook - 4,,L,NT100126TT-PV1-Buffalo Bills-Hunting-JamesCook-4,0,shopify,0,continue,manual,69.97,,TRUE,,,,,,FALSE,,Adult,Unisex,,Buffalo Bills Hunting Unisex Puffer Vest,,,,new,FALSE,,,,,,https://img.thesitebase.net/10504/10504822/products/ver_1/gexdkmbzgCAtcmjxheAtmnrvgexdambqgaxdmmjxgCxdoojtgqCdqnjqgeBtimi.jpg,lb,,,
