Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,SEO Hidden (product.metafields.seo.hidden)
baltimore-ravens-x-native-american-heritage-3d-apparel,BAL Ravens x Native American Heritage 3D Apparel ,"<p>Keep it simple, keep it sharp. Our custom T-shirt is your everyday essential - soft, breathable, and made to move with you. Whether you're rocking a bold graphic or a minimal design, this tee delivers comfort and style from morning to night.</p>
<ul>
<li>Material: 100% premium polyester — lightweight, breathable, and moisture-wicking</li>
<li>Fit: Unisex regular fit, true to size</li>
<li>Sizes: S to 5XL</li>
<li>Print area: Full front and back</li>
<li>Care: Machine wash cold, do not tumble dry, do not iron on print</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/BJ_size_chart_1.png?v=1743429236"" alt=""Size Chart""></p>",,T-shirt,"search-hidden,t-shirt",TRUE,Size,S,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/09/Raglan-t-shirt-TMTHU958.jpg,1,Baltimore Ravens x Native American Heritage 3D Apparel ,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,1
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,search-hidden,,,M,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,1
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,,,,L,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,,,,XL,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,,,,2XL,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,,,,3XL,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,,,,4XL,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,
baltimore-ravens-x-native-american-heritage-3d-apparel--tmthu958,,,,,,,,5XL,,,,,NT251225TT-TS1-Baltimore Ravens ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,Baltimore Ravens x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,
new-york-jets-x-native-american-heritage-3d-apparel,NYJ Jets x Native American Heritage 3D Apparel ,"<p>Keep it simple, keep it sharp. Our custom T-shirt is your everyday essential - soft, breathable, and made to move with you. Whether you're rocking a bold graphic or a minimal design, this tee delivers comfort and style from morning to night.</p>
<ul>
<li>Material: 100% premium polyester — lightweight, breathable, and moisture-wicking</li>
<li>Fit: Unisex regular fit, true to size</li>
<li>Sizes: S to 5XL</li>
<li>Print area: Full front and back</li>
<li>Care: Machine wash cold, do not tumble dry, do not iron on print</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img src=""https://cdn.shopify.com/s/files/1/0695/2776/5205/files/BJ_size_chart_1.png?v=1743429236"" alt=""Size Chart""></p>",,T-shirt,"search-hidden,t-shirt",TRUE,Size,S,,,,,NT251225TT-TS1-New York Jets ,0,shopify,0,continue,manual,34.99,,TRUE,,,https://gifnestbuys.com/wp-content/uploads/2025/09/Raglan-t-shirt-TMTHU957.jpg,1,New York Jets x Native American Heritage 3D Apparel ,FALSE,,Adult,Unisex,,New York Jets x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,1
new-york-jets-x-native-american-heritage-3d-apparel--tmthu957,,,,,search-hidden,,,M,,,,,NT251225TT-TS1-New York Jets ,0,shopify,0,continue,manual,34.99,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Jets x Native American Heritage 3D Apparel ,,,,new,FALSE,,,,,,,lb,,,1
